ID;conc1_s1;conceito1;conc2_s1;conceito2;conc3_s1;conceito3;conc4_s1;conceito4;conc5_s1;conceito5;conc6_s1;conceito6;l1;l2;l3;l4;l5;l6;l7;l8;l9;l10;l11;l12;l13;l14;l15;l16;l17;nivel_conh_EC;regiao_geografica;estado_resid;genero_1M;grad_area;espec_area;se_mestre_contabeis_1s;mestrado_area;se_doutor_cont_1s;doutor_area;Mest_antes2007_1s;mestr_tempo_concl;Dout_antes2007_1s;doutor_tempo_concl;docenciaantes2007_1s;docencia_tempo;cod_cursoatual_ies;ies_leciona_atual;Organ_acad_atual;cat_adm_atual;area_societaria;area_custos;area_gerencial;area_publica;area_teoria;area_etica;area_auditoria;area_pericia;area_tributaria;area_outra;mercado_atual;tempo_mercado;for_pedag;forped_Mapos2015;formped_Dapos2015;forped_curtapos2015;forped_longapos2015;certificac_atual;certif_crcatual;certif_outratual;regime_atual;public_atual;perc_aprovCFC;prec_reprovCFC;cod_curso2012ies;ies_leciona2012;Organ_acad2012;cat_adm2012;UF_ies2012;area12_eradocente;area12_societaria;area12_custos;area12_gerencial;area12_publica;area12_teoria;area12_etica;area12_auditoria;area12_pericia;area12_tributaria;area12_outra;mercado_2012;for_pedag;forped_Mate2015;formped_Dantes2015;forped_curtate2015;forped_longate2015;certificac_2012;certif_crc2012;certif_outra2012;regime_2012;public_2012;nota_brutaIDD;nota_brutaODP;nota_brutaIIE;nota_brutaOAF;nota_brutaMest;nota_bruta_Dout;nota_bruta_regime;nota_bruta_FG;nota_bruta_CE;Notaenade_societaria;Notaenade_custos;Notaenade_gerencial;Notaenade_publica;Notaenade_teoria;Notaenade_etica;Notaenade_auditoria;Notaenade_pericia;nota_bruta_geral;enade_cont;cpc_continuo;num_docentesenade;cpc_faixa;enade_faixa;inscritosCFC;presentesCFC;aprovadosCFC;reprovaosCFC;ausentesCFC
908;1;5;1;7;1;7;1;9;0;0;1;7;5;10;9;10;5;8;10;4;10;10;10;8;10;10;5;10;0;7;5;11;1;1;2;1;1;1;1;0;7;;0;0;10;8;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;1;0;0;1;0;0;0;0;0;0;1;13;1;0;1;1;0;1;1;0;1;4;52,66272189;47,33727811;8;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;11;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;1;6;0,097750485;4,556078434;4,351675034;3,432976246;0,642857143;0,214285714;1;60,45454545;48,74909091;3,168181818;6,722727273;9,118181818;6,8;8,472727273;4,945454545;3,25;6,259090909;51,69090909;3,866088867;2,75700497;28;3;4;201;169;89;80;32
314;1;8;1;10;1;10;1;9;1;10;1;7;9;9;9;10;8;9;9;8;9;10;10;8;10;10;6;10;9;8;5;11;1;1;4;1;1;0;5;1;15;;;1;25;21;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;1;1;0;0;0;0;0;0;0;1;1;10;1;0;0;0;0;1;1;0;1;0;52,94117647;47,05882353;21;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;11;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;-1,999035835;4,460385323;3,809523821;4,139455795;0,72;0,2;1;51,724;37,72;1,73;6,8;7,82;4,76;6,32;3,57;2,62;4,08;41,228;2,275195599;2,095222815;25;3;3;64;51;27;24;13
320;1;7;1;10;1;10;1;8;1;9;1;7;8;10;10;10;10;10;10;10;10;10;10;8;10;10;8;10;10;8;5;11;0;1;1;1;1;0;5;1;11;;;0;10;21;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;1;0;0;0;0;0;0;0;0;0;1;22;1;0;0;0;0;0;0;0;1;0;52,94117647;47,05882353;83884;FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DO VALE DO JURUENA;3;3;11;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;1,718518496;5,906832218;5,939393997;5,976190567;0,882352941;0,352941176;0,941176471;49,72857143;41,04285714;3,178571429;4,857142857;10,32142857;5,464285714;5,964285714;4,857142857;2,75;3,642857143;43,24285714;2,553837538;3,378460716;17;4;3;64;51;27;24;13
995;1;8;1;8;1;8;1;7;1;8;1;7;5;10;8;5;5;5;8;10;5;10;5;5;10;10;5;5;10;8;5;7;0;1;4;0;4;0;4;1;25;1;20;1;25;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;1;1;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;1;5;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;4;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
959;1;7;1;7;1;9;1;9;0;2;1;8;2;2;9;10;6;9;8;5;10;2;7;6;5;10;3;10;8;7;5;7;0;1;5;1;1;1;1;0;8;;0;0;10;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;0;0;1;0;0;0;0;0;0;5;3;1;0;1;0;0;1;1;0;2;2;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;1;1;0;0;0;0;0;0;0;0;3;1;1;0;0;0;1;1;0;2;0;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
956;1;10;1;10;1;10;1;5;1;10;1;10;0;10;10;10;0;10;10;10;10;10;10;10;10;10;10;10;10;5;1;25;0;3;5;0;4;0;5;1;15;;;1;16;149;UNIVERSIDADE DE BRASÍLIA;1;1;0;0;1;0;0;0;0;0;0;0;8;0;1;0;0;0;0;1;1;0;3;1;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;1;1;0;0;0;0;0;0;0;0;8;1;1;0;0;0;1;1;0;3;0;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
842;1;5;0;4;1;6;1;7;0;4;1;7;2;6;4;9;6;6;7;6;10;4;6;8;6;5;3;7;6;6;5;7;1;1;4;0;3;1;1;1;17;0;5;1;28;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;0;1;1;0;0;0;0;0;0;6;31;1;0;1;0;0;1;1;0;1;3;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;1;1;1;0;0;0;0;0;0;0;3;1;1;0;1;0;1;1;0;1;6;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
794;1;9;1;5;1;7;1;8;1;9;1;8;7;4;9;6;3;4;4;9;3;7;4;6;4;4;8;6;9;7;5;7;1;4;4;0;5;1;1;;;1;17;1;20;149;UNIVERSIDADE DE BRASÍLIA;1;1;0;0;1;0;0;0;0;0;0;1;1;3;1;0;1;0;0;0;0;0;1;6;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;15;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
725;0;2;1;7,5;1;8;1;7;1;8;1;9;8;4;9;7;9;4;4;8;4;9;9;4;4;9;8;4;8;8;5;7;0;1;5;1;1;1;1;1;15;0;6;1;17;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;0;0;0;0;0;0;0;0;0;1;4;1;0;1;0;0;1;1;0;1;2;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;5;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
700;1;5;1;6;1;8;1;5;1;6;1;7;7;2;6;8;9;8;10;;9;9;10;3;9;10;9;7;4;7;5;7;0;1;5;1;1;0;3;0;9;0;1;0;8;149;UNIVERSIDADE DE BRASÍLIA;1;1;1;0;0;0;0;0;0;0;0;0;1;13;1;0;1;0;0;0;0;0;1;2;86,96969697;13,03030303;149;UNIVERSIDADE DE BRASÍLIA;1;1;7;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0,649011374;4,61678648;4,40301609;3,826949596;0,991666667;0,7;1;61,65;52,0530303;3,481060606;7,147727273;9,337121212;6,954545455;9,928030303;4,25;5,659090909;5,28030303;54,46212121;4,281070709;3,530674356;120;4;5;375;330;287;43;45
